Kode KBKI,Jenis Komoditas,Ketersediaan (Ton),Kebutuhan (Ton),Neraca (Ton),Harga Pasar (Rupiah/Kg)
2316,Beras,"24,125.45",246.15,"23,879.30","12,763"
112,Jagung,16.7,0.24,16.46,"9,000"
21111,Daging Sapi,48.75,0.63,48.12,"130,000"
21121,Daging Ayam,46.65,11.88,34.77,"45,000"
2310,Telur Ayam,27.6,13.38,14.22,"29,000"
21545,Minyak Goreng,300.2,29.3,270.9,"19,000"
23511,Gula Pasir,96.35,16.24,80.11,"17,000"
1231,Cabe Keriting,25.15,17.9,7.25,"48,000"
1231,Cabe Rawit,23.1,2.93,20.17,"60,000"
125302,Bawang Merah,26.2,1.58,24.62,"41,000"
1252,Bawang Putih,24.5,1.19,23.31,"40,000"
